id,description,tags,price,weight,origin,dest,gift,label_id,price_bin,weight_bin
22,mech kb gaming,"electronics,computer,keyboard,gaming",139,0.9,CA,US,0,9,100-200,0.5-1
6,bosch 18v drill,"tools,powertool,drill,cordless",199,2.0,CA,US,0,2,100-200,1-2
3,pixel7 128g,"electronics,phone,android,google",799,0.42,CA,GB,0,0,200+,0.25-0.5
13,pback novel 300pg,"books,printed,paperback",16,0.45,CA,US,0,6,0-25,0.25-0.5
16,spf50 sunscrn 100ml,"cosmetics,skincare,sunscreen",18,0.15,CA,US,1,7,0-25,0-0.25
4,sony xm4 wireless hdphns,"electronics,audio,headphones,wireless,sony",349,0.3,CA,US,1,1,200+,0.25-0.5
5,jbl flip5 bt spkr,"electronics,audio,speaker,bt,jbl",129,0.55,CA,US,0,1,100-200,0.5-1
23,makeup kit + brush,"cosmetics,makeup,kit",35,0.4,CA,US,1,7,25-50,0.25-0.5
18,dell insp15 8g/256,"electronics,computer,laptop,dell",799,1.8,CA,US,0,9,200+,1-2
21,li-ion batt 3000mah,"electronics,battery,lithium",15,0.06,CA,US,0,11,0-25,0-0.25
24,kids puzzle 500pc,"toys,puzzle,kids",14,0.55,CA,US,0,5,0-25,0.5-1
8,mens cotton tee L,"apparel,tshirt,cotton,men",20,0.2,CA,US,1,3,0-25,0-0.25
11,plush teddy br,"toys,plush,teddy,kids",25,0.35,CA,US,1,5,0-25,0.25-0.5
15,face crm 50ml,"cosmetics,skincare,cream",22,0.1,CA,US,0,7,0-25,0-0.25
20,dark choc 70% 100g,"food,chocolate,cocoa,snack",4,0.1,CA,US,1,10,0-25,0-0.25
7,dewalt 20v impact drv,"tools,powertool,driver,cordless",229,1.6,CA,US,0,2,200+,1-2
